MaterialID,Topic,Label
1,http://dbpedia.org/resource/English_language,English language
1,http://dbpedia.org/resource/Sport_Club_Internacional,Sport Club Internacional
1,http://dbpedia.org/resource/Canada,Canada
1,http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific,College of Osteopathic Medicine of the Pacific
1,http://dbpedia.org/resource/FOAF_(ontology),FOAF (ontology)
1,http://dbpedia.org/resource/Knowledge_Graph,Knowledge Graph
1,http://dbpedia.org/resource/Graph_database,Graph database
1,http://dbpedia.org/resource/Web_Ontology_Language,Web Ontology Language
1,http://dbpedia.org/resource/Ontology,Ontology
1,http://dbpedia.org/resource/RDF_Schema,RDF Schema
1,http://dbpedia.org/resource/Data_model,Data model
1,http://dbpedia.org/resource/Concordia_University,Concordia University
1,http://dbpedia.org/resource/DBpedia,DBpedia
1,http://dbpedia.org/resource/Intelligent_agent,Intelligent agent
1,http://dbpedia.org/resource/City,City
1,http://dbpedia.org/resource/Main_Page,Main Page
1,http://dbpedia.org/resource/Montreal,Montreal
1,http://dbpedia.org/resource/Amplitude_modulation,Amplitude modulation
1,http://dbpedia.org/resource/FAQ,FAQ
1,http://dbpedia.org/resource/Group_Selection_(book),Group Selection (book)
1,http://dbpedia.org/resource/Moodle,Moodle
1,http://dbpedia.org/resource/Test_cricket,Test cricket
1,http://dbpedia.org/resource/Monty_Python,Monty Python
1,http://dbpedia.org/resource/Contact_(1997_American_film),Contact (1997 American film)
1,http://dbpedia.org/resource/Proxemics,Proxemics
1,http://dbpedia.org/resource/Conscription_in_the_United_States,Conscription in the United States
1,http://dbpedia.org/resource/General_officer,General officer
